filepath,disease,signer,label
landmarks/SHOULDER PAIN/prakash/PRAKASH_21.npy,SHOULDER PAIN,prakash,36
landmarks/Ear Ache/Kalyan/Kalyan__Kalyan__KALYAN_25.npy,Ear Ache,kalyan,19
landmarks/STOMACH ACHE/harkhapratim gogoi/HARKAPRATIM_10.npy,STOMACH ACHE,harkhapratim gogoi,39
landmarks/Swell/Junali/Junali__Junali__Junali_2.npy,Swell,junali,43
landmarks/Cramp/Rinki/Rinki__Rinki__WIN_20250602_12_55_36_Pro.npy,Cramp,rinki,14
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_22.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_25.npy,Cut,biraj,15
landmarks/Bleed/rupanjali/RUPANJALI_15.npy,Bleed,rupanjali,6
landmarks/Bone Fracture/rinki/RINKI_27.npy,Bone Fracture,rinki,7
landmarks/Injury/Biraj/Biraj__Biraj__BIRAJ_18.npy,Injury,biraj,28
landmarks/Diabetes/rupanjali/RUPANJALI_10.npy,Diabetes,rupanjali,17
landmarks/Swell/anindita/WIN_20250602_12_23_47_Pro.npy,Swell,anindita,43
landmarks/BROKEN BONES/pranati/PRANATI_6.npy,BROKEN BONES,pranati,3
landmarks/Fever/anindita/WIN_20250602_12_29_06_Pro.npy,Fever,anindita,22
landmarks/Bleed/junali/JUNALI_21.npy,Bleed,junali,6
landmarks/Bone Fracture/rajkumar/RAJKUMAR_19.npy,Bone Fracture,rajkumar,7
landmarks/STOMACH ACHE/harkhapratim gogoi/HARKAPRATIM_17.npy,STOMACH ACHE,harkhapratim gogoi,39
landmarks/RUNNY NOSE/prakash/PRAKASH_26.npy,RUNNY NOSE,prakash,33
landmarks/Injury/Umiraj/Umiraj__Umiraj__UMIRAJ_6.npy,Injury,umiraj,28
landmarks/Swell/anindita/Anindita_16.npy,Swell,anindita,43
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_17.npy,STD,harkhapratim gogoi,38
landmarks/Cut/Bishal/Bishal__Bishal__BISHAL_27.npy,Cut,bishal,15
landmarks/Itch/rupanjali/RUPANJALI_2.npy,Itch,rupanjali,29
landmarks/Sunburn/Umiraj/Umiraj__Umiraj__UMIRAJ_15.mp4.npy,Sunburn,umiraj,42
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_54.npy,JAUNDICE,arinjit kataki,30
landmarks/nausea/junali/JUNALI_7.npy,nausea,junali,47
landmarks/Injury/Umiraj/Umiraj__Umiraj__UMIRAJ_11.npy,Injury,umiraj,28
landmarks/Faint/rajkumar/RAJKUMAR_37.npy,Faint,rajkumar,21
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_11_58_57_Pro.npy,Swell,junali,43
landmarks/SORE THROAT/arinjit kataki/ARINJIT_22.npy,SORE THROAT,arinjit kataki,37
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_11.npy,SHOULDER PAIN,chayanika,36
landmarks/Back Ache/Anindita/Anindita__Anindita__Anindita_6.npy,Back Ache,anindita,5
landmarks/Tooth ache/anindita/Anindita_10.npy,Tooth ache,anindita,45
landmarks/BRUISE/chayanika/CHAYANIKA_19.npy,BRUISE,chayanika,4
landmarks/Cold/Umiraj/Umiraj__Umiraj__UMIRAJ_30.npy,Cold,umiraj,12
landmarks/Bleed/rajkumar/RAJKUMAR_27.npy,Bleed,rajkumar,6
landmarks/Cancer/junali/JUNALI_2.npy,Cancer,junali,11
landmarks/nausea/anindita/ANINDITA_9.npy,nausea,anindita,47
landmarks/Sneeze/Anindita/Anindita__Anindita__Anindita_12.npy,Sneeze,anindita,40
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_14.npy,SHOULDER PAIN,chayanika,36
landmarks/BLOOD PRESSURE/SURESH/SURESH__SURESH__SURESH_7.npy,BLOOD PRESSURE,suresh,2
landmarks/CONJUCTIVITIES/NARESH/NARESH__NARESH__NARESH_16.npy,CONJUCTIVITIES,naresh,10
landmarks/Faint/rinki/RINKI_19.npy,Faint,rinki,21
landmarks/MUMPSE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM26.npy,MUMPSE,harkhapratim gogoi,31
landmarks/SORE THROAT/chayanika/CHAYANIKA_6.npy,SORE THROAT,chayanika,37
landmarks/nausea/rinki/RINKI_25.npy,nausea,rinki,47
landmarks/HEAD ACHE/chayanika/CHAYANIKA_24.npy,HEAD ACHE,chayanika,23
landmarks/Cough/Biraj/Biraj__Biraj__BIRAJ_7.npy,Cough,biraj,13
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_31.npy,CONJUCTIVITIES,akash,10
landmarks/Bone Fracture/rinki/RINKI_4.npy,Bone Fracture,rinki,7
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_15.npy,Cut,biraj,15
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_32_35_Pro.npy,Back Ache,rinki,5
landmarks/CONJUCTIVITIES/AKASH/AKASH__AKASH__AKASH_20.npy,CONJUCTIVITIES,akash,10
landmarks/Cut/Bishal/Bishal__Bishal__BISHAL_6.npy,Cut,bishal,15
landmarks/Diabetes/anindita/ANINDITA_7.npy,Diabetes,anindita,17
landmarks/Sneeze/Rinki/Rinki__Rinki__WIN_20250602_12_41_15_Pro.npy,Sneeze,rinki,40
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_32_48_Pro.npy,Back Ache,rinki,5
landmarks/Injury/Biraj/Biraj__Biraj__BIRAJ_31.npy,Injury,biraj,28
landmarks/nausea/anindita/ANINDITA_16.npy,nausea,anindita,47
landmarks/Rash/Umiraj/Umiraj__Umiraj__UMIRAJ_9.npy,Rash,umiraj,34
landmarks/HEART ATTACK/NARESH/NARESH__NARESH__NARESH_8.npy,HEART ATTACK,naresh,24
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_9.npy,Broken Arm,kalyan,8
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_13.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/Tooth ache/anindita/Anindita_3.npy,Tooth ache,anindita,45
landmarks/HEPATITIS/AKASH/AKASH__AKASH__AKASH_30.npy,HEPATITIS,akash,26
landmarks/Sneeze/Rajkumar/Rajkumar__Rajkumar__Rajkumar_7.npy,Sneeze,rajkumar,40
landmarks/Cough/Shubham/Shubham__Shubham__SHUBHAM_5.npy,Cough,shubham,13
landmarks/Fever/Rinki/Rinki__Rinki__Rinki_18.npy,Fever,rinki,22
landmarks/BRUISE/pranati/PRANATI_12.npy,BRUISE,pranati,4
landmarks/Bone Fracture/anindita/ANINDITA_14.npy,Bone Fracture,anindita,7
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_13.npy,SHOULDER PAIN,chayanika,36
landmarks/Retching/rupanjali/RUPANJALI_26.npy,Retching,rupanjali,35
landmarks/Measles/rinki/RINKI_23.npy,Measles,rinki,32
landmarks/BROKEN BONES/chayanika/CHAYANIKA_5.npy,BROKEN BONES,chayanika,3
landmarks/HEAT BURN/prakash/PRAKASH_9.npy,HEAT BURN,prakash,25
landmarks/Measles/rajkumar/RAJKUMAR_6.npy,Measles,rajkumar,32
landmarks/Sneeze/Junali/Junali__Junali__Junali_18.npy,Sneeze,junali,40
landmarks/BRUISE/chayanika/CHAYANIKA_22.npy,BRUISE,chayanika,4
landmarks/Tooth ache/anindita/Anindita_31.npy,Tooth ache,anindita,45
landmarks/TB/harkhapratim gogoi/HARKHAPRATIM_28.npy,TB,harkhapratim gogoi,44
landmarks/Hiv/anindita/ANINDITA_16.npy,Hiv,anindita,27
landmarks/HEAD ACHE/prakash/PRAKASH_7.npy,HEAD ACHE,prakash,23
landmarks/HEAD ACHE/harkhapratim gogoi/HARKAPRATIM_5.npy,HEAD ACHE,harkhapratim gogoi,23
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_20.npy,BLOOD PRESSURE,akash,2
landmarks/Rash/Shubham/Shubham__Shubham__SHUBHAM_9.npy,Rash,shubham,34
landmarks/SORE THROAT/pranati/PRANATI_8.npy,SORE THROAT,pranati,37
landmarks/Retching/rinki/RINKI_11.npy,Retching,rinki,35
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_10.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/Cut/Kalyan/Kalyan__Kalyan__KALYAN_34.npy,Cut,kalyan,15
landmarks/Cramp/Anindita/Anindita__Anindita__WIN_20250602_12_25_18_Pro.npy,Cramp,anindita,14
landmarks/TB/Suresh/Suresh__Suresh__SURESH_4.npy,TB,suresh,44
landmarks/Cold/Umiraj/Umiraj__Umiraj__UMIRAJ_24.npy,Cold,umiraj,12
landmarks/RUNNY NOSE/arinjit kataki/ARINJIT_16.npy,RUNNY NOSE,arinjit kataki,33
landmarks/Sunburn/Bishal/Bishal__Bishal__BISHAL_6.npy,Sunburn,bishal,42
landmarks/MUMPSE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM49.npy,MUMPSE,harkhapratim gogoi,31
landmarks/BROKEN BONES/harkhapratim gogoi/HARKAPRATIM_22.npy,BROKEN BONES,harkhapratim gogoi,3
landmarks/HEAT BURN/prakash/PRAKASH_29.npy,HEAT BURN,prakash,25
landmarks/BROKEN BONES/prakash/PRAKASH_39.npy,BROKEN BONES,prakash,3
landmarks/Bleed/junali/JUNALI_34.npy,Bleed,junali,6
landmarks/Cramp/Rinki/Rinki__Rinki__WIN_20250602_12_54_40_Pro.npy,Cramp,rinki,14
landmarks/TB/Akash/Akash__Akash__AKASH_11.npy,TB,akash,44
landmarks/Hiv/junali/JUNALI_9.npy,Hiv,junali,27
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_39.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/STOMACH ACHE/arinjit kataki/ARINJIT_30.npy,STOMACH ACHE,arinjit kataki,39
landmarks/HEPATITIS/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_3.npy,HEPATITIS,arinjit kataki,26
landmarks/SORE THROAT/pranati/PRANATI_3.npy,SORE THROAT,pranati,37
landmarks/Injury/Shubham/Shubham__Shubham__SHUBHAM_21.npy,Injury,shubham,28
landmarks/JAUNDICE/NARESH/NARESH__NARESH__NARESH_4.npy,JAUNDICE,naresh,30
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_10.npy,Cut,biraj,15
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_10.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/HEAT BURN/chayanika/CHAYANIKA_ 16.npy,HEAT BURN,chayanika,25
landmarks/Cough/Shubham/Shubham__Shubham__SHUBHAM_6.npy,Cough,shubham,13
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_5.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/CHICKEN POX/NARESH/NARESH__NARESH__NARESH_12.npy,CHICKEN POX,naresh,9
landmarks/Bone Fracture/rupanjali/RUPANJALI_11.npy,Bone Fracture,rupanjali,7
landmarks/STD/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_14.npy,STD,arinjit kataki,38
landmarks/Diabetes/rajkumar/RAJKUMAR_33.npy,Diabetes,rajkumar,17
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_12_00_56_Pro.npy,Swell,junali,43
landmarks/nausea/Rajkumar/Rajkumar__Rajkumar__RAJKUMAR_14.npy,nausea,rajkumar,47
landmarks/RUNNY NOSE/prakash/PRAKASH_8.npy,RUNNY NOSE,prakash,33
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_42.npy,Ear Ache,biraj,19
landmarks/JAUNDICE/NARESH/NARESH__NARESH__NARESH_11.npy,JAUNDICE,naresh,30
landmarks/HEAD ACHE/arinjit kataki/ARINJIT_8.npy,HEAD ACHE,arinjit kataki,23
landmarks/Cold/Biraj/Biraj__Biraj__BIRAJ_33.npy,Cold,biraj,12
landmarks/Diabetes/anindita/ANINDITA_9.npy,Diabetes,anindita,17
landmarks/HEPATITIS/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_5.npy,HEPATITIS,harkhapratim gogoi,26
landmarks/Cancer/rinki/RINKI_18.npy,Cancer,rinki,11
landmarks/Hiv/anindita/ANINDITA_12.npy,Hiv,anindita,27
landmarks/Cough/Bishal/Bishal__Bishal__BISHAL_13.npy,Cough,bishal,13
landmarks/Retching/anindita/ANINDITA_10.npy,Retching,anindita,35
landmarks/Cough/Biraj/Biraj__Biraj__BIRAJ_4.npy,Cough,biraj,13
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__HARKHAPRATIM_12.npy,JAUNDICE,arinjit kataki,30
landmarks/RUNNY NOSE/chayanika/CHAYANIKA_19.npy,RUNNY NOSE,chayanika,33
landmarks/Tooth ache/Rinki/Rinki__Rinki__WIN_20250602_12_30_21_Pro.npy,Tooth ache,rinki,45
landmarks/Tooth ache/Junali/Junali__Junali__WIN_20250602_11_46_04_Pro.npy,Tooth ache,junali,45
landmarks/Dizziness/anindita/Anindita_6.npy,Dizziness,anindita,18
landmarks/Bleed/rajkumar/RAJKUMAR_40.npy,Bleed,rajkumar,6
landmarks/Cramp/Rinki/Rinki__Rinki__WIN_20250602_12_56_34_Pro.npy,Cramp,rinki,14
landmarks/Tooth ache/Rinki/Rinki__Rinki__Rinki_14.npy,Tooth ache,rinki,45
landmarks/Sore Finger/Junali/Junali__Junali__Junali_9.npy,Sore Finger,junali,41
landmarks/nausea/anindita/ANINDITA_4.npy,nausea,anindita,47
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_30.npy,DIARRHOEA,naresh,16
landmarks/Sore Finger/Rinki/Rinki__Rinki__WIN_20250602_12_36_44_Pro.npy,Sore Finger,rinki,41
landmarks/ASTHMA/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_24.npy,ASTHMA,harkhapratim gogoi,0
landmarks/RUNNY NOSE/prakash/PRAKASH_5.npy,RUNNY NOSE,prakash,33
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__HARKHAPRATIM_32.npy,JAUNDICE,arinjit kataki,30
landmarks/Ear Ache/Kalyan/Kalyan__Kalyan__KALYAN_31.npy,Ear Ache,kalyan,19
landmarks/MUMPSE/NARESH/NARESH__NARESH__NARESH_14.npy,MUMPSE,naresh,31
landmarks/Sunburn/Kalyan/Kalyan__Kalyan__KALYAN_40.mp4.npy,Sunburn,kalyan,42
landmarks/Sneeze/Junali/Junali__Junali__WIN_20250602_11_51_30_Pro.npy,Sneeze,junali,40
landmarks/Sunburn/Kalyan/Kalyan__Kalyan__KALYAN_31.mp4.npy,Sunburn,kalyan,42
landmarks/Ear Ache/Biraj/Biraj__Biraj__BIRAJ_15.npy,Ear Ache,biraj,19
landmarks/Sneeze/Rinki/Rinki__Rinki__WIN_20250602_12_40_22_Pro.npy,Sneeze,rinki,40
landmarks/Cancer/anindita/ANINDITA_20.npy,Cancer,anindita,11
landmarks/STD/NARESH/NARESH__NARESH__NARESH_11.npy,STD,naresh,38
landmarks/Retching/rajkumar/RAJKUMAR_10.npy,Retching,rajkumar,35
landmarks/Diabetes/rupanjali/RUPANJALI_16.npy,Diabetes,rupanjali,17
landmarks/Back Ache/Rinki/Rinki__Rinki__WIN_20250602_12_32_56_Pro.npy,Back Ache,rinki,5
landmarks/BROKEN BONES/chayanika/CHAYANIKA_2.npy,BROKEN BONES,chayanika,3
landmarks/Back Ache/Junali/Junali__Junali__Junali_5.npy,Back Ache,junali,5
landmarks/Cut/Biraj/Biraj__Biraj__BIRAJ_34.npy,Cut,biraj,15
landmarks/BROKEN BONES/prakash/PRAKASH_9.npy,BROKEN BONES,prakash,3
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_20.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/Sore Finger/Rinki/Rinki__Rinki__WIN_20250602_12_37_09_Pro.npy,Sore Finger,rinki,41
landmarks/Injury/Shubham/Shubham__Shubham__SHUBHAM_15.npy,Injury,shubham,28
landmarks/HEAT BURN/harkhapratim gogoi/HARKAPRATIM_3.npy,HEAT BURN,harkhapratim gogoi,25
landmarks/Tooth ache/Rinki/Rinki__Rinki__Rinki_20.npy,Tooth ache,rinki,45
landmarks/Sneeze/Anindita/Anindita__Anindita__WIN_20250602_12_21_15_Pro.npy,Sneeze,anindita,40
landmarks/Sunburn/Bishal/Bishal__Bishal__BISHAL_13.npy,Sunburn,bishal,42
landmarks/DIARRHOEA/Akash/Akash__Akash__AKASH_14.npy,DIARRHOEA,akash,16
landmarks/Sunburn/Shubham/Shubham__Shubham__SHUBHAM_1.mp4.npy,Sunburn,shubham,42
landmarks/RUNNY NOSE/pranati/PRANATI_23.npy,RUNNY NOSE,pranati,33
landmarks/nausea/junali/JUNALI_23.npy,nausea,junali,47
landmarks/Cold/Bishal/Bishal__Bishal__BISHAL_55.npy,Cold,bishal,12
landmarks/HEART ATTACK/SURESH/SURESH__SURESH__SURESH_2.npy,HEART ATTACK,suresh,24
landmarks/STD/NARESH/NARESH__NARESH__NARESH_26.npy,STD,naresh,38
landmarks/STD/NARESH/NARESH__NARESH__NARESH_31.npy,STD,naresh,38
landmarks/Broken Arm/Shubham/Shubham__Shubham__SHUBHAM_9.npy,Broken Arm,shubham,8
landmarks/Itch/rupanjali/RUPANJALI_19.npy,Itch,rupanjali,29
landmarks/Vomit/Umiraj/Umiraj__Umiraj__UMIRAJ_4.npy,Vomit,umiraj,46
landmarks/Bone Fracture/rinki/RINKI_12.npy,Bone Fracture,rinki,7
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_11_58_38_Pro.npy,Swell,junali,43
landmarks/Faint/rupanjali/RUPANJALI_4.npy,Faint,rupanjali,21
landmarks/ASTHMA/NARESH/NARESH__NARESH__NARESH_2.npy,ASTHMA,naresh,0
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_58.npy,JAUNDICE,arinjit kataki,30
landmarks/Fever/Rinki/Rinki__Rinki__WIN_20250602_12_57_34_Pro.npy,Fever,rinki,22
landmarks/FLU/chayanika/CHAYANIKA_8.npy,FLU,chayanika,20
landmarks/HEAD ACHE/pranati/PRANATI_24.npy,HEAD ACHE,pranati,23
landmarks/BROKEN BONES/arinjit kataki/ARINJIT_6.npy,BROKEN BONES,arinjit kataki,3
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_34.npy,DIARRHOEA,naresh,16
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_11_58_47_Pro.npy,Swell,junali,43
landmarks/Itch/anindita/ANINDITA_16.npy,Itch,anindita,29
landmarks/STOMACH ACHE/chayanika/CHAYANIKA_3.npy,STOMACH ACHE,chayanika,39
landmarks/SORE THROAT/prakash/PRAKASH_29.npy,SORE THROAT,prakash,37
landmarks/Retching/rinki/RINKI_19.npy,Retching,rinki,35
landmarks/BROKEN BONES/prakash/PRAKASH_37.npy,BROKEN BONES,prakash,3
landmarks/CHICKEN POX/NARESH/NARESH__NARESH__NARESH_16.npy,CHICKEN POX,naresh,9
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__HARKHAPRATIM_1.npy,JAUNDICE,arinjit kataki,30
landmarks/Swell/Rajkumar/Rajkumar__Rajkumar__WIN_20250602_11_13_35_Pro.npy,Swell,rajkumar,43
landmarks/Rash/Kalyan/Kalyan__Kalyan__KALYAN_34.npy,Rash,kalyan,34
landmarks/Back Ache/Anindita/Anindita__Anindita__Anindita_10.npy,Back Ache,anindita,5
landmarks/MUMPSE/SURESH/SURESH__SURESH__SURESH_5.npy,MUMPSE,suresh,31
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_30.npy,Broken Arm,kalyan,8
landmarks/HEAT BURN/prakash/PRAKASH_2.npy,HEAT BURN,prakash,25
landmarks/BLOOD PRESSURE/AKASH/AKASH__AKASH__AKASH_4.npy,BLOOD PRESSURE,akash,2
landmarks/Cut/Shubham/Shubham__Shubham__SHUBHAM_24.npy,Cut,shubham,15
landmarks/Dizziness/Rinki/Rinki__Rinki__Rinki_26.npy,Dizziness,rinki,18
landmarks/SHOULDER PAIN/pranati/PRANATI_14.npy,SHOULDER PAIN,pranati,36
landmarks/SORE THROAT/arinjit kataki/ARINJIT_29.npy,SORE THROAT,arinjit kataki,37
landmarks/FLU/pranati/PRANATI_7.npy,FLU,pranati,20
landmarks/Faint/rinki/RINKI_5.npy,Faint,rinki,21
landmarks/Vomit/Kalyan/Kalyan__Kalyan__KALYAN_6.npy,Vomit,kalyan,46
landmarks/Swell/Junali/Junali__Junali__WIN_20250602_12_01_03_Pro.npy,Swell,junali,43
landmarks/Injury/Biraj/Biraj__Biraj__BIRAJ_11.npy,Injury,biraj,28
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_28.npy,Ear Ache,bishal,19
landmarks/SHOULDER PAIN/chayanika/CHAYANIKA_12.npy,SHOULDER PAIN,chayanika,36
landmarks/HEAT BURN/prakash/PRAKASH_6.npy,HEAT BURN,prakash,25
landmarks/Diabetes/rajkumar/RAJKUMAR_30.npy,Diabetes,rajkumar,17
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_14.npy,JAUNDICE,akash,30
landmarks/Broken Arm/Biraj/Biraj__Biraj__BIRAJ_1.npy,Broken Arm,biraj,8
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_22.npy,Allergies,kalyan,1
landmarks/SHOULDER PAIN/pranati/PRANATI_5.npy,SHOULDER PAIN,pranati,36
landmarks/Allergies/Biraj/Biraj__Biraj__BIRAJ_8.npy,Allergies,biraj,1
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_13.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/Retching/rajkumar/RAJKUMAR_4.npy,Retching,rajkumar,35
landmarks/Cough/Bishal/Bishal__Bishal__BISHAL_20.npy,Cough,bishal,13
landmarks/Itch/rajkumar/RAJKUMAR_2.npy,Itch,rajkumar,29
landmarks/Hiv/rajkumar/RAJKUMAR_40.npy,Hiv,rajkumar,27
landmarks/Cut/Umiraj/Umiraj__Umiraj__UMIRAJ_1.npy,Cut,umiraj,15
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_11.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/Swell/anindita/Anindita_25.npy,Swell,anindita,43
landmarks/HEAT BURN/pranati/PRANATI_10.npy,HEAT BURN,pranati,25
landmarks/Ear Ache/Kalyan/Kalyan__Kalyan__KALYAN_30.npy,Ear Ache,kalyan,19
landmarks/Faint/junali/JUNALI_16.npy,Faint,junali,21
landmarks/Hiv/rajkumar/RAJKUMAR_24.npy,Hiv,rajkumar,27
landmarks/Ear Ache/Bishal/Bishal__Bishal__BISHAL_37.npy,Ear Ache,bishal,19
landmarks/Broken Arm/Kalyan/Kalyan__Kalyan__KALYAN_20.npy,Broken Arm,kalyan,8
landmarks/CHICKEN POX/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_9.npy,CHICKEN POX,arinjit kataki,9
landmarks/FLU/arinjit kataki/ARINJIT_8.npy,FLU,arinjit kataki,20
landmarks/CONJUCTIVITIES/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_28.npy,CONJUCTIVITIES,harkhapratim gogoi,10
landmarks/Dizziness/Rinki/Rinki__Rinki__Rinki_15.npy,Dizziness,rinki,18
landmarks/Injury/Bishal/Bishal__Bishal__BISHAL_28.npy,Injury,bishal,28
landmarks/Rash/Biraj/Biraj__Biraj__BIRAJ_33.npy,Rash,biraj,34
landmarks/Sneeze/Anindita/Anindita__Anindita__Anindita_11.npy,Sneeze,anindita,40
landmarks/CONJUCTIVITIES/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_6.npy,CONJUCTIVITIES,arinjit kataki,10
landmarks/Diabetes/rajkumar/RAJKUMAR_9.npy,Diabetes,rajkumar,17
landmarks/JAUNDICE/AKASH/AKASH__AKASH__AKASH_15.npy,JAUNDICE,akash,30
landmarks/Allergies/Kalyan/Kalyan__Kalyan__KALYAN_5.npy,Allergies,kalyan,1
landmarks/SORE THROAT/harkhapratim gogoi/HARKAPRATIM_9.npy,SORE THROAT,harkhapratim gogoi,37
landmarks/STD/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_1.npy,STD,harkhapratim gogoi,38
landmarks/ASTHMA/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_22.npy,ASTHMA,harkhapratim gogoi,0
landmarks/STD/AKASH/AKASH__AKASH__AKASH_51.npy,STD,akash,38
landmarks/nausea/anindita/ANINDITA_31.npy,nausea,anindita,47
landmarks/SORE THROAT/pranati/PRANATI_32.npy,SORE THROAT,pranati,37
landmarks/JAUNDICE/ARINJIT KATAKI/ARINJIT_KATAKI__ARINJIT_KATAKI__ARINJIT_38.npy,JAUNDICE,arinjit kataki,30
landmarks/Cramp/Junali/Junali__Junali__Junali_7.npy,Cramp,junali,14
landmarks/Itch/rajkumar/RAJKUMAR_27.npy,Itch,rajkumar,29
landmarks/DIARRHOEA/Naresh/Naresh__Naresh__NARESH_46.npy,DIARRHOEA,naresh,16
landmarks/Sunburn/Biraj/Biraj__Biraj__BIRAJ_2.npy,Sunburn,biraj,42
landmarks/MUMPSE/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM16.npy,MUMPSE,harkhapratim gogoi,31
landmarks/CHICKEN POX/AKASH/AKASH__AKASH__AKASH_12.npy,CHICKEN POX,akash,9
landmarks/FLU/arinjit kataki/ARINJIT_13.npy,FLU,arinjit kataki,20
landmarks/Sore Finger/Rinki/Rinki__Rinki__Rinki_7.npy,Sore Finger,rinki,41
landmarks/HEART ATTACK/HARKHAPRATIM GOGOI/HARKHAPRATIM_GOGOI__HARKHAPRATIM_GOGOI__HARKHAPRATIM_17.npy,HEART ATTACK,harkhapratim gogoi,24
landmarks/Vomit/Biraj/Biraj__Biraj__BIRAJ_13.npy,Vomit,biraj,46
landmarks/Allergies/Umiraj/Umiraj__Umiraj__UMIRAJ_1.npy,Allergies,umiraj,1
landmarks/Retching/junali/JUNALI_4.npy,Retching,junali,35
landmarks/Sunburn/Shubham/Shubham__Shubham__SHUBHAM_15.mp4.npy,Sunburn,shubham,42
landmarks/Bleed/rupanjali/RUPANJALI_37.npy,Bleed,rupanjali,6
landmarks/Bleed/junali/JUNALI_16.npy,Bleed,junali,6
landmarks/STD/AKASH/AKASH__AKASH__AKASH_47.npy,STD,akash,38
